echo sha,contributor,date,message
0718d23dd,Adrien Cassagne,Mon Jun 28 16:52:31 2021 +0200,Unbind adaptors when deleting a 'tools::Pipeline'.
c89c27abd,Adrien Cassagne,Mon Jun 28 13:24:13 2021 +0200,Add `is_done` method to 'tools::Sequence'.
7324975d0,Adrien Cassagne,Mon Jun 28 13:23:39 2021 +0200,Add a step by step method to execute a 'tools::Sequence'.
3f4f4106b,Romain TAJAN,Thu Jun 24 16:52:48 2021 +0200,Add a method for creating a reset task for Module heritating from Interface_reset.
91a344983,Romain TAJAN,Thu Jun 24 10:24:25 2021 +0200,Add documentation for some tasks.
61509eb75,Adrien Cassagne,Tue Jun 15 16:17:18 2021 +0200,CI: allow failure for `check-debug-parser` job.
c68f71c1b,Adrien Cassagne,Mon Jun 7 12:37:31 2021 +0200,Improve socket `operator=` with vector and array support.
87215f5d1,Adrien Cassagne,Fri Jun 4 11:42:33 2021 +0200,Add a new `operator=` for sockets binding.
ea7ce530a,Adrien Cassagne,Fri May 28 10:06:23 2021 +0200,CI: add missing tags.
ec0b33225,Romain TAJAN,Thu May 27 18:30:38 2021 +0200,Add Interface_get_trellis inheritance for RSC_DB encoder.
08c77d68c,Romain TAJAN,Thu May 27 15:59:13 2021 +0200,Fix py_aff3ct related issue in interleaver cores row_column and column_row.
d62d50e2f,Adrien Cassagne,Wed May 26 14:22:32 2021 +0200,CI: rm flags for macos build job.
2f18ff2a2,Adrien Cassagne,Tue May 25 17:46:24 2021 +0200,CI: do not supply PDF anymore in PPA.
a016c82e7,Adrien Cassagne,Tue May 25 17:24:01 2021 +0200,CI: add `no_proxy` tag.
d34a8950e,Adrien Cassagne,Mon May 24 21:02:39 2021 +0200,CI: remove useless line.
a02863873,Adrien Cassagne,Mon May 24 16:13:30 2021 +0200,CI: fix clang analysis.
6b81dbb25,Adrien Cassagne,Sun May 23 21:25:02 2021 +0200,CI: dockerize Windows jobs.
a3e400b1a,Adrien Cassagne,Sun May 23 11:55:15 2021 +0200,CI: improve deploy ppa job.
7955dca19,Adrien Cassagne,Sun May 23 11:04:23 2021 +0200,CI: improve coverage workflow.
806313436,Adrien Cassagne,Sat May 22 17:38:59 2021 +0200,Fix link error on MSVC.
368d1946e,Adrien Cassagne,Sat May 22 12:33:37 2021 +0200,CI: dockerize Linux jobs again.
1d18c7d82,Adrien Cassagne,Fri May 21 23:33:34 2021 +0200,CI: fix missing docker image for RSC tests.
05313e2e0,Adrien Cassagne,Fri May 21 23:31:41 2021 +0200,CI: fix debug parser refs.
f268af121,Adrien Cassagne,Fri May 21 19:06:12 2021 +0200,CI: dockerize many Linux jobs.
c126f71ad,Adrien Cassagne,Fri May 21 16:51:02 2021 +0200,CI: dockerize headers and submodules.
be7f4a19b,Adrien Cassagne,Fri May 21 16:35:26 2021 +0200,Fix exception destructors.
bc0911534,Adrien Cassagne,Fri May 21 16:22:13 2021 +0200,CI: fix cppcheck script for version 1.9.
68f6e1a53,Adrien Cassagne,Fri May 21 16:04:10 2021 +0200,CI: dockerize cppcheck.
900383617,Adrien Cassagne,Fri May 21 11:33:27 2021 +0200,CI: enable Intel compiler build.
928c53497,Adrien Cassagne,Fri May 21 10:41:42 2021 +0200,Fix MKL usage.
ea10ed0b6,Adrien Cassagne,Thu May 20 15:01:15 2021 +0200,Fix MSVC compilation error (again...).
b5c0f79c9,Adrien Cassagne,Wed Apr 28 17:56:23 2021 +0200,Reset the path in 'module::Switcher' for each wave in 'tools::Sequence'.
53af09095,Adrien Cassagne,Thu Apr 15 12:20:48 2021 +0200,Fix MSVC compilation error.
50106bc01,Adrien Cassagne,Thu Apr 15 11:39:09 2021 +0200,Rm useless files.
f70d42e21,Adrien Cassagne,Fri Apr 9 17:21:13 2021 +0200,Improve 'tools::Sequence'.
92b89b7f1,Adrien Cassagne,Mon Apr 5 11:58:59 2021 +0200,Optimize the commute task "on the fly" binding.
27ca6ddf9,Adrien Cassagne,Mon Apr 5 11:15:41 2021 +0200,Add 0 copy mode in 'module::Switcher' when executing 'tools::Sequence'.
73ea3f05b,Adrien Cassagne,Fri Apr 2 16:39:07 2021 +0200,Replace tree by directed graph nodes in sequence + remove useless nodes.
1fbe9784b,Adrien Cassagne,Thu Mar 25 20:41:34 2021 +0100,Huge commit, details below.   - Remove legacy BFER simulations.   - Remove EXIT chart simulations.   - Remove 'module::Loop' and 'module::Router' (replaced by 'module::Switcher').   - Use new 'module::Switcher' for the loop in BFERI simulations.   - Add new simple modules: Binaryop, Unaryop, Controller, Finalizer, Initializer, Incrementer, Sleeper, Iterator, Reducer.   - Improve 'tools::Sequence'.   - Remove 'SIN_SOUT' socket type.
743e003aa,Adrien Cassagne,Sun Mar 14 19:01:44 2021 +0100,Create "module::Switch" and "module::Multiplexer" + code factorization.
0d087a8ae,Adrien Cassagne,Thu Mar 11 14:35:27 2021 +0100,Fix the missing initialization of the `auto_stop` boolean.
