echo sha,contributor,date,message
0c1dc38,Adrien Cassagne,Sat Jul 20 10:44:54 2024 +0200,Fix compilation warnings.
69bc909,Adrien Cassagne,Sat Jul 20 10:41:04 2024 +0200,CI: Force a git tag for each build.
9c712a2,Adrien Cassagne,Sat Jul 20 10:27:16 2024 +0200,Move schedulers in a dedicated dir with a new namespace: 'sched'.
28e2a3c,Adrien Cassagne,Sat Jul 20 10:16:03 2024 +0200,CI: Simplify scheduler test.
66d144d,Diane,Fri Jul 19 16:57:31 2024 +0200,re fix mem leak
5a53584,Diane,Fri Jul 19 13:53:29 2024 +0200,fix mem leak
a5232e5,Adrien Cassagne,Fri Jul 19 11:38:40 2024 +0200,CI: Disable memcheck on bash script.
3c21c8d,Adrien Cassagne,Fri Jul 19 11:10:11 2024 +0200,Doc: Add scheduler use in the 'generic-pipeline'.
ad40483,Adrien Cassagne,Fri Jul 19 10:40:19 2024 +0200,CI: Add sched OTAC tests to run memcheck on it.
a281816,Adrien Cassagne,Fri Jul 19 10:23:02 2024 +0200,CI: Plug the scheduler test to ctest.
d6c536c,Adrien Cassagne,Fri Jul 19 10:08:15 2024 +0200,Improve 'tests_OTAC.sh' script + check 'OTAC' scheduler in 'generic-pipeline'.
38e1e7c,Adrien Cassagne,Fri Jul 19 09:26:07 2024 +0200,Merge branch 'sched' of gitlab.inria.fr:fec/streampu into sched
c515859,Adrien Cassagne,Fri Jul 19 09:21:07 2024 +0200,Improve management of stateful tasks.
0286c5e,Diane,Wed Jul 17 16:41:44 2024 +0200,add test script for OTAC
e6c9be4,Diane,Wed Jul 17 15:25:29 2024 +0200,add auto pipeline creation
63bca86,Diane,Wed Jul 17 14:51:47 2024 +0200,fix case only 1 thread
6283827,Adrien Cassagne,Mon Jul 15 16:30:20 2024 +0200,Improve the 'generic-pipeline' test to be scheduler ready.
a27d5f6,Diane Orhan,Mon Jul 15 13:41:10 2024 +0200,Add scheduler class.
9be314e,Adrien Cassagne,Wed Jun 12 11:06:56 2024 +0200,Doc: Improve generic pipeline test.
075e0d7,Adrien Cassagne,Tue Jun 11 19:38:55 2024 +0200,Improve generic pipeline + add doc.
905be1b,Adrien Cassagne,Tue Jun 11 11:18:42 2024 +0200,Improve again the genericity of the generic pipeline test.
ba240b4,Adrien Cassagne,Mon Jun 10 23:49:56 2024 +0200,Improve genericity of the generic pipeline test.
a5b84ef,Adrien Cassagne,Sun Jun 9 12:23:42 2024 +0200,Merge branch 'develop' into upgrade_generic
175c77d,Adrien Cassagne,Sun Jun 9 12:03:38 2024 +0200,Readme: Use 'cmake --build' instead of 'make'.
95c8961,Adrien Cassagne,Sun Jun 9 11:49:18 2024 +0200,Readme: Add thread library linking instructions.
0338ffa,Adrien Cassagne,Sun Jun 9 11:30:49 2024 +0200,CI: Try harcoded version in GitHub action builds.
0b94e4f,Adrien Cassagne,Sun Jun 9 11:20:12 2024 +0200,CI: Force Git fetch in GitHub action builds.
1540ccc,Adrien Cassagne,Sun Jun 9 11:12:36 2024 +0200,CI: Force StreamPU version on GitHub actions.
6b74ba6,Adrien Cassagne,Tue May 28 14:25:21 2024 +0200,Fix wrong version.
30b2a7c,Adrien Cassagne,Tue May 28 11:44:16 2024 +0200,Cosmetics.
4f6fcb3,Adrien Cassagne,Tue May 28 11:26:26 2024 +0200,Add versionning from Git tags.
